Horodateur,Matricule,20/06 AM,20/06 PM,21/06 AM,21/06 PM,22/06 AM,22/06 PM,23/06 AM,23/06 PM,24/06 AM,24/06 PM,25/06 AM,25/06 PM,27/06 AM,27/06 PM,28/06 AM,28/06 PM,29/06 AM,29/06 PM,30/06 AM,30/06 PM,01/07 AM,01/07 PM,02/07 AM,02/07 PM
02/04/2022 15:32:35,397111,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10
24/03/2022 16:06:56,414510,1,1,1,1,1,1,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/04/2022 02:13:22,429726,7,10,7,10,7,10,7,10,7,10,7,10,4,6,4,6,4,6,4,6,4,6,4,6
24/04/2022 12:04:02,440982,1,1,1,1,1,1,1,1,1,1,2,2,6,6,8,8,10,10,10,10,10,10,10,10
05/04/2022 17:15:47,445382,1,1,1,1,1,1,1,1,1,1,3,3,5,5,7,7,8,8,9,9,10,10,10,10
24/03/2022 21:23:16,454970,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,10,1,7,1,7,1,6
01/04/2022 13:44:49,459800,1,1,1,1,1,1,1,1,1,1,10,5,10,10,10,10,10,10,5,5,1,1,1,1
19/04/2022 18:28:22,471298,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:47:43,474537,1,1,1,1,1,1,1,1,3,3,4,4,6,6,8,8,8,9,9,9,10,10,10,10
20/04/2022 14:08:07,474709,8,10,8,10,8,10,8,10,7,8,6,7,5,4,1,1,1,1,1,1,1,1,1,1
25/03/2022 21:26:29,475620,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,5,7,6,8,8,9,9,10,10
05/04/2022 16:55:32,475674,2,2,1,1,1,1,2,1,1,1,7,7,10,10,10,10,10,10,10,10,10,7,7,7
04/04/2022 18:29:20,480843,1,1,1,1,1,1,1,1,7,7,7,7,7,7,9,9,7,7,6,6,8,8,8,8
24/03/2022 16:10:03,481652,10,10,10,10,9,9,8,8,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:07:51,489196,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:08:21,489755,10,10,10,10,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/04/2022 00:33:39,490418,3,3,3,3,3,3,3,3,6,4,5,5,6,3,5,9,9,9,10,9,9,10,9,9
04/04/2022 11:45:10,492914,1,1,1,1,2,2,3,3,4,4,7,8,7,10,7,8,1,1,1,1,1,1,1,1
04/04/2022 11:57:44,493194,1,1,1,1,1,1,1,1,10,10,10,10,5,5,5,5,2,2,2,2,1,1,1,1
24/03/2022 16:28:47,493195,7,7,1,1,3,6,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 20:39:00,493243,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,2,2,2,2
24/03/2022 15:45:59,493416,1,1,1,1,1,4,10,8,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:44:21,493677,10,10,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:04:44,493710,1,1,1,1,1,1,2,4,1,5,4,10,6,10,6,10,9,10,9,10,9,10,9,10
24/03/2022 23:46:01,493853,1,1,1,1,1,1,6,6,10,10,8,8,8,8,8,8,6,6,4,4,4,4,3,3
24/03/2022 20:40:26,493871,2,2,1,1,6,6,10,10,10,10,10,10,5,5,1,1,1,1,1,1,1,1,1,1
22/04/2022 03:47:05,493929,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,1,1,1,1,1,1,1,1,1
21/04/2022 22:51:17,494595,1,5,1,6,1,6,2,7,2,10,5,10,4,7,3,6,4,5,3,5,2,4,1,1
26/03/2022 16:11:36,494704,10,10,10,10,10,10,1,1,1,1,1,1,10,10,10,10,10,10,10,10,1,1,1,1
24/03/2022 17:08:52,494732,1,1,1,1,1,1,1,6,3,10,2,7,1,1,1,1,1,1,1,1,1,1,1,1
29/03/2022 20:16:01,494745,1,1,1,1,1,3,3,6,5,4,1,1,1,1,1,1,2,3,3,6,9,10,10,10
30/03/2022 14:08:39,495094,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1
27/03/2022 16:35:52,495529,1,1,1,1,2,3,3,3,5,5,7,8,10,10,10,10,10,10,8,8,8,8,8,8
24/03/2022 19:42:38,495574,5,5,5,5,5,5,5,5,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5
25/04/2022 14:11:16,497560,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
25/03/2022 12:20:19,498312,7,10,7,10,7,10,7,10,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02/04/2022 13:17:14,498381,9,9,7,1,8,8,8,1,1,7,9,9,8,1,6,6,7,7,7,7,7,7,2,2
29/03/2022 11:08:09,498630,10,10,10,10,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/03/2022 00:24:19,499350,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,10,3,10,3
04/04/2022 19:40:33,499353,10,3,10,3,10,3,10,3,10,3,10,2,10,3,10,3,10,3,10,3,10,3,10,3
24/03/2022 16:20:30,499846,1,1,1,1,1,1,4,2,10,4,5,2,5,2,5,2,6,2,5,2,4,2,4,1
