Timestamp,Matricule,10/01 AM,10/01 PM,11/01 AM,11/01 PM,12/01 AM,14/01 PM,15/01 AM,15/01 PM,17/01 AM,17/01 PM,18/01 PM,19/01 AM,19/01 PM,20/01 AM,22/01 PM,25/01 PM,26/01 AM,26/01 PM,27/01 AM,29/01 AM,29/01 PM
11/27/2021 21:33:40,000494471,1,1,1,1,1,1,4,6,7,10,10,10,7,6,7,6,6,2,2,5,6
11/27/2021 21:36:37,000494642,1,1,5,5,3,3,6,8,10,10,7,7,5,1,4,2,1,4,3,3,3
11/27/2021 21:40:02,494419,2,2,1,1,3,4,7,7,10,9,9,9,8,3,4,4,2,2,2,3,3
11/27/2021 21:44:43,475760,1,1,10,10,10,7,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1
11/27/2021 21:47:05,529200,1,1,1,1,1,8,10,10,1,7,1,1,1,1,1,1,1,1,1,1,1
11/27/2021 21:47:25,000474183,1,2,3,3,1,1,3,3,1,1,7,8,8,6,8,7,10,9,7,8,8
11/27/2021 21:50:15,490132,1,1,1,1,1,1,3,4,10,10,10,8,6,4,4,4,1,1,1,3,3
11/27/2021 21:56:56,474871,10,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1
11/27/2021 22:08:06,495532,1,1,1,1,1,1,1,1,6,1,1,6,5,1,3,5,10,9,3,1,1
11/27/2021 22:14:37,000474577,1,1,1,1,1,7,10,10,6,3,5,6,4,2,3,1,1,1,1,1,1
11/27/2021 22:16:18,491288,2,3,2,3,2,3,1,1,9,9,8,8,4,1,1,1,5,5,2,2,2
11/27/2021 22:28:00,000473834,1,1,1,1,2,10,10,10,10,10,4,5,8,10,3,1,1,1,2,2,2
11/27/2021 22:31:31,489896,1,1,1,1,1,1,10,10,10,2,1,6,10,1,1,1,1,1,1,1,1
11/27/2021 22:37:01,000481814,1,1,3,3,1,5,1,1,10,8,4,5,2,1,1,2,1,1,1,1,1
11/27/2021 22:39:30,000495528,10,10,5,5,1,1,1,4,1,1,1,4,3,1,1,1,4,3,1,1,4
11/27/2021 23:05:16,000529656,1,1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,5,1,1,5,5
11/27/2021 23:25:17,000459934,10,10,9,9,1,1,4,5,1,2,3,1,1,2,10,3,2,1,3,1,1
11/27/2021 23:31:27,444693,2,4,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/27/2021 23:45:32,000529145,9,5,10,5,9,5,1,1,10,5,5,9,5,10,5,5,10,5,10,1,1
11/28/2021 0:53:19,000473786,10,10,1,1,1,1,1,1,1,1,8,10,10,1,1,1,1,1,1,1,1
11/28/2021 2:06:43,507622,1,10,7,10,5,10,4,10,8,9,1,1,1,1,1,1,1,1,1,1,1
11/28/2021 2:55:01,000494640,1,1,1,1,1,2,3,6,10,10,10,10,10,6,3,1,1,1,1,1,1
11/28/2021 8:42:57,000426205,3,2,1,1,1,1,1,1,4,4,4,5,5,7,9,9,7,6,5,5,5
11/28/2021 8:46:36,493632,1,1,1,1,1,1,1,1,10,10,8,10,10,1,1,1,1,1,1,8,8
