Matricule,9/01 AM,11/01 PM,14/01 AM,14/01 PM,17/01 AM,19/01 AM,19/01 PM,20/01 AM,23/01 AM,23/01 PM,25/01 PM,26/01 AM,26/01 PM,27/01 AM,27/01 PM,28/01 AM,28/01 PM
547834,X, , , , , , , , , , , , , , , , 
540316, , , , , , , , , , , , , , , ,X, 
513025, , , , , ,X, , , , , , , , , , , 
549556, , , , , , , ,X, , , , , , , , , 
539449, , , ,X, , , , , , , , , , , , , 
513879,X, , , , , , , , , , , , , , , , 
514169, , , , , , , , , , , ,X, , , , , 
513477, ,X, , , , , , , , , , , , , , , 
514375, , , , , , , , , , , , ,X, , , , 
539190, , , , , , , , , ,X, , , , , , , 
475674, , , , , , , ,X, , , , , , , , , 
540087, , , , , ,X, , , , , , , , , , , 
540322, , , , , , , , , , ,X, , , , , , 
523662, , , , ,X, , , , , , , , , , , , 
529558, ,X, , , , , , , , , , , , , , , 
540321, , , , ,X, , , , , , , , , , , , 
539838, ,X, , , , , , , , , , , , , , , 
540836, , , , , , , , ,X, , , , , , , , 
539448, , ,X, , , , , , , , , , , , , , 
539509, ,X, , , , , , , , , , , , , , , 
539222, , , , , , , ,X, , , , , , , , , 
508238, , , , , , , , , , , , ,X, , , , 
530533, , , , , , , , , , ,X, , , , , , 
531993, , ,X, , , , , , , , , , , , , , 
534793, , , , , , , , , , , , , , , ,X, 
540442, , ,X, , , , , , , , , , , , , , 
513769, , , , , , , , , , , , , , , , ,X
540669, , , , , , , , , , , , , , , , ,X
547804, , , , , , , , ,X, , , , , , , , 
540085, , , , , , , , , , , ,X, , , , , 
494599,X, , , , , , , , , , , , , , , , 
544110, , , , ,X, , , , , , , , , , , , 
539291, , , , , , , , ,X, , , , , , , , 
539447, , , , , , ,X, , , , , , , , , , 
512406, , , , , , , , ,X, , , , , , , , 
538577, , , , , , , , , , , , , , , , ,X
540670, , , , , ,X, , , , , , , , , , , 
540727, , , , , , , , , , , , , , , , ,X
552661, , , , , , , , , , , ,X, , , , , 
514575, , , ,X, , , , , , , , , , , , , 
539586, , , , ,X, , , , , , , , , , , , 
513455, , , , , , , , , , , , ,X, , , , 
540840, , , , , , , , , , , , , , , , ,X
540565, , , , , , , , , , , , ,X, , , , 
527844, , , , , , , , , , , , , , , ,X, 
540082, , , , , , ,X, , , , , , , , , , 
489196, , , , , , , , , , , , , ,X, , , 
513158, , , ,X, , , , , , , , , , , , , 
540731, , , , , , , ,X, , , , , , , , , 
556926,X, , , , , , , , , , , , , , , , 
512862, , , , , , , ,X, , , , , , , , , 
514174, , , , , ,X, , , , , , , , , , , 
539829, , , , , , , , , , , , ,X, , , , 
500023, , , ,X, , , , , , , , , , , , , 
532877, , , , , , , , , , , , ,X, , , , 
543802, , , , , , , , , , , , ,X, , , , 
514283, , , , , , , , , , , , ,X, , , , 
539828, , , , , , , ,X, , , , , , , , , 
540247, , , , , , , , , , , , , , , ,X, 
520074, , , , , , , ,X, , , , , , , , , 
529624, , , ,X, , , , , , , , , , , , , 
539445, , , , , , , , , , , , , ,X, , , 
539826,X, , , , , , , , , , , , , , , , 
521670, , , , , , , , , , , , , ,X, , , 
539825, , , , , , , , , , , , , ,X, , , 
540329, , , , , , , , , , , , , , , ,X, 
539397, , , , , , , ,X, , , , , , , , , 
539648,X, , , , , , , , , , , , , , , , 
548933, , , , , , , ,X, , , , , , , , , 
539563, , ,X, , , , , , , , , , , , , , 
540995,X, , , , , , , , , , , , , , , , 
514365, , , , , , , , , , , , ,X, , , , 
513449,X, , , , , , , , , , , , , , , , 
532686, , , , , , , , , ,X, , , , , , , 
540846, , , ,X, , , , , , , , , , , , , 
540080, , , , , , , , , , , ,X, , , , , 
539821, , , , , ,X, , , , , , , , , , , 
540336, , , , , , , , ,X, , , , , , , , 
513162, , , , , , ,X, , , , , , , , , , 
498630, , , , , , , , , , , , , ,X, , , 
539933, , , , , , , ,X, , , , , , , , , 
540248, ,X, , , , , , , , , , , , , , , 
513267, , , , , ,X, , , , , , , , , , , 
540250, , , , , , , , , , , , , , ,X, , 
539288, , , , , ,X, , , , , , , , , , , 
540333, ,X, , , , , , , , , , , , , , , 
539180, , , , , , , , , , , , , ,X, , , 
