Matricule,Date
547834,9/01 AM
540316,28/01 AM
513025,19/01 AM
549556,20/01 AM
539449,14/01 PM
513879,9/01 AM
514169,26/01 AM
513477,11/01 PM
514375,26/01 PM
539190,23/01 PM
475674,20/01 AM
540087,19/01 AM
540322,25/01 PM
523662,17/01 AM
529558,11/01 PM
540321,17/01 AM
539838,11/01 PM
540836,23/01 AM
539448,14/01 AM
539509,11/01 PM
539222,20/01 AM
508238,26/01 PM
530533,25/01 PM
531993,14/01 AM
534793,28/01 AM
540442,14/01 AM
513769,28/01 PM
540669,28/01 PM
547804,23/01 AM
540085,26/01 AM
494599,9/01 AM
544110,17/01 AM
539291,23/01 AM
539447,19/01 PM
512406,23/01 AM
538577,28/01 PM
540670,19/01 AM
540727,28/01 PM
552661,26/01 AM
514575,14/01 PM
539586,17/01 AM
513455,26/01 PM
540840,28/01 PM
540565,26/01 PM
527844,28/01 AM
540082,19/01 PM
489196,27/01 AM
513158,14/01 PM
540731,20/01 AM
556926,9/01 AM
512862,20/01 AM
514174,19/01 AM
539829,26/01 PM
500023,14/01 PM
532877,26/01 PM
543802,26/01 PM
514283,26/01 PM
539828,20/01 AM
540247,28/01 AM
520074,20/01 AM
529624,14/01 PM
539445,27/01 AM
539826,9/01 AM
521670,27/01 AM
539825,27/01 AM
540329,28/01 AM
539397,20/01 AM
539648,9/01 AM
548933,20/01 AM
539563,14/01 AM
540995,9/01 AM
514365,26/01 PM
513449,9/01 AM
532686,23/01 PM
540846,14/01 PM
540080,26/01 AM
539821,19/01 AM
540336,23/01 AM
513162,19/01 PM
498630,27/01 AM
539933,20/01 AM
540248,11/01 PM
513267,19/01 AM
540250,27/01 PM
539288,19/01 AM
540333,11/01 PM
539180,27/01 AM
539541,27/01 AM
540535,26/01 AM
540077,23/01 AM
540076,11/01 PM
513575,14/01 AM
540737,14/01 PM
540074,26/01 PM
512958,28/01 PM
540434,26/01 PM
512957,28/01 PM
495094,28/01 AM
539814,17/01 AM
540337,19/01 AM
513806,9/01 AM
540540,27/01 PM
513979,14/01 AM
521668,26/01 AM
539538,28/01 PM
513936,11/01 PM
540675,28/01 AM
539443,17/01 AM
535552,17/01 AM
539172,14/01 PM
481652,23/01 AM
540072,11/01 PM
492914,23/01 AM
514072,28/01 PM
508662,11/01 PM
540742,27/01 AM
514352,28/01 PM
540674,26/01 AM
539562,14/01 PM
530176,23/01 PM
512856,27/01 PM
539534,26/01 AM
540254,14/01 AM
546864,26/01 AM
539807,14/01 AM
493710,9/01 AM
539806,11/01 PM
540064,14/01 PM
539382,19/01 AM
540851,14/01 PM
540067,19/01 AM
540169,20/01 AM
540417,26/01 PM
540545,14/01 PM
540062,14/01 AM
539169,28/01 AM
530543,11/01 PM
539165,17/01 AM
539799,14/01 AM
530434,11/01 PM
539794,28/01 PM
539285,27/01 AM
513467,26/01 PM
539381,25/01 PM
512980,28/01 PM
540795,17/01 AM
530406,11/01 PM
539531,14/01 AM
512948,27/01 AM
540055,20/01 AM
540168,26/01 PM
540349,28/01 AM
539162,9/01 AM
475940,14/01 PM
539161,14/01 PM
539614,11/01 PM
540257,27/01 AM
544250,26/01 AM
514345,26/01 PM
513157,14/01 PM
539528,19/01 AM
523779,23/01 AM
540354,14/01 AM
512712,17/01 AM
509412,14/01 PM
489755,28/01 AM
540747,28/01 AM
540258,26/01 AM
540549,28/01 AM
495928,17/01 AM
539440,11/01 PM
540034,19/01 AM
426169,28/01 PM
518966,27/01 AM
540600,17/01 AM
543938,23/01 AM
514171,28/01 PM
512832,28/01 PM
513484,9/01 AM
540415,23/01 AM
539442,23/01 AM
