Matricule,Date
475828,3/01 AM
510985,11/01 AM
466285,13/01 AM
481783,16/01 AM
474046,5/01 AM
511306,15/01 AM
481580,2/01 AM
479212,12/01 AM
461123,2/01 AM
517204,2/01 AM
479392,1/01 AM
516979,1/01 AM
496480,8/01 AM
499901,1/01 AM
495480,10/01 AM
506828,3/01 AM
498452,9/01 AM
460076,3/01 AM
479504,11/01 AM
466470,8/01 AM
463039,11/01 AM
482264,16/01 AM
516694,12/01 AM
499691,5/01 AM
512225,2/01 AM
465886,1/01 AM
473259,11/01 AM
487604,5/01 AM
513587,16/01 AM
464727,3/01 AM
461504,10/01 AM
484805,5/01 AM
491146,1/01 AM
474313,8/01 AM
470799,9/01 AM
494447,2/01 AM
490119,9/01 AM
469202,10/01 AM
509697,5/01 AM
462276,3/01 AM
455554,12/01 AM
519061,10/01 AM
487710,11/01 AM
453486,10/01 AM
468351,9/01 AM
513569,8/01 AM
490132,12/01 AM
517593,9/01 AM
474160,12/01 AM
