Horodateur,Matricule,1/01 AM,2/01 AM,3/01 AM,5/01 AM,8/01 AM,9/01 AM,10/01 AM,11/01 AM,12/01 AM,13/01 AM,15/01 AM,16/01 AM
2021/11/11 7:48:51 PM UTC+1,475828,7,10,10,1,1,1,4,3,8,7,7,6
2021/11/11 7:48:51 PM UTC+1,473939,6,3,8,10,2,8,10,9,5,4,8,5
2021/11/11 7:48:51 PM UTC+1,506287,4,8,5,3,7,7,4,10,1,3,4,4
2021/11/11 7:48:51 PM UTC+1,487659,6,3,6,2,9,6,3,6,9,1,3,7
2021/11/11 7:48:51 PM UTC+1,492870,3,7,8,6,3,9,9,4,2,6,8,2
2021/11/11 7:48:51 PM UTC+1,451989,1,4,5,6,8,6,8,6,7,10,9,6
2021/11/11 7:48:51 PM UTC+1,507734,3,5,8,4,1,5,3,9,10,9,9,10
2021/11/11 7:48:51 PM UTC+1,485043,4,1,2,5,6,10,2,8,3,7,1,4
2021/11/11 7:48:51 PM UTC+1,457340,6,8,9,5,2,2,2,8,1,10,1,9
2021/11/11 7:48:51 PM UTC+1,456947,10,2,6,8,6,5,8,10,9,8,5,9
2021/11/11 7:48:51 PM UTC+1,482796,4,9,1,5,9,9,10,1,1,6,2,5
2021/11/11 7:48:51 PM UTC+1,502313,2,7,8,10,3,9,1,10,9,5,9,10
2021/11/11 7:48:51 PM UTC+1,512940,5,3,10,5,4,8,4,7,1,1,8,3
2021/11/11 7:48:51 PM UTC+1,467269,3,8,4,8,1,6,10,9,3,5,1,3
2021/11/11 7:48:51 PM UTC+1,494059,4,9,2,9,6,5,9,3,1,6,10,4
2021/11/11 7:48:51 PM UTC+1,482835,4,9,10,3,5,5,10,6,5,9,6,10
2021/11/11 7:48:51 PM UTC+1,510384,2,3,5,1,6,3,2,9,5,5,3,3
2021/11/11 7:48:51 PM UTC+1,500697,10,6,4,9,6,7,8,10,6,2,10,8
2021/11/11 7:48:51 PM UTC+1,515209,2,6,5,8,5,6,3,2,1,10,1,2
2021/11/11 7:48:51 PM UTC+1,515401,4,3,7,10,8,8,4,1,1,3,5,4
2021/11/11 7:48:51 PM UTC+1,518145,4,2,2,8,1,7,9,4,4,6,7,7
2021/11/11 7:48:51 PM UTC+1,472066,6,9,7,3,8,9,5,2,7,5,1,2
2021/11/11 7:48:51 PM UTC+1,450241,8,10,5,3,8,4,6,9,4,8,7,8
2021/11/11 7:48:51 PM UTC+1,516213,4,6,10,10,2,7,2,3,9,7,4,6
2021/11/11 7:48:51 PM UTC+1,491405,5,10,7,2,1,7,6,4,4,8,5,5
2021/11/11 7:48:51 PM UTC+1,479478,4,1,1,3,2,6,7,6,3,3,9,4
2021/11/11 7:48:51 PM UTC+1,468510,10,5,2,4,4,3,4,10,4,5,1,8
2021/11/11 7:48:51 PM UTC+1,481788,8,5,4,10,5,3,6,8,5,9,8,4
2021/11/11 7:48:51 PM UTC+1,518799,10,6,4,7,5,2,8,4,4,9,3,9
2021/11/11 7:48:51 PM UTC+1,460035,3,10,8,1,8,5,10,10,7,3,5,5
2021/11/11 7:48:51 PM UTC+1,481181,10,1,6,6,9,6,9,7,9,2,9,5
2021/11/11 7:48:51 PM UTC+1,503356,6,6,6,2,4,9,6,2,7,6,7,10
2021/11/11 7:48:51 PM UTC+1,452666,9,2,1,7,10,2,9,6,4,2,6,9
2021/11/11 7:48:51 PM UTC+1,456448,6,9,9,6,7,5,1,8,5,3,6,4
2021/11/11 7:48:51 PM UTC+1,492084,5,2,8,3,5,9,2,10,3,8,6,4
2021/11/11 7:48:51 PM UTC+1,466742,4,5,10,10,3,6,3,10,6,4,8,6
2021/11/11 7:48:51 PM UTC+1,453307,5,7,1,7,5,1,6,1,8,6,9,6
2021/11/11 7:48:51 PM UTC+1,477685,2,2,7,5,8,6,7,6,4,10,8,9
2021/11/11 7:48:51 PM UTC+1,514630,7,8,1,6,5,7,6,4,4,4,10,3
2021/11/11 7:48:51 PM UTC+1,509609,9,9,10,10,2,6,8,6,5,7,8,2
2021/11/11 7:48:51 PM UTC+1,509050,6,4,1,8,1,8,9,6,7,2,10,5
2021/11/11 7:48:51 PM UTC+1,463005,2,5,8,9,4,1,8,4,10,5,3,1
2021/11/11 7:48:51 PM UTC+1,458374,5,10,10,8,2,1,10,1,10,9,1,6
2021/11/11 7:48:51 PM UTC+1,512635,7,6,5,6,5,5,2,2,4,7,1,7
2021/11/11 7:48:51 PM UTC+1,517755,6,10,1,10,2,2,4,9,3,1,8,8
2021/11/11 7:48:51 PM UTC+1,497256,3,10,5,8,10,10,2,10,4,3,1,1
2021/11/11 7:48:51 PM UTC+1,498273,3,5,5,5,1,5,6,8,10,10,7,5
2021/11/11 7:48:51 PM UTC+1,459219,1,3,7,7,10,4,5,1,10,2,6,10
2021/11/11 7:48:51 PM UTC+1,515160,8,3,5,5,6,7,6,1,6,7,2,5
2021/11/11 7:48:51 PM UTC+1,481307,7,4,7,3,8,6,2,3,9,3,8,3
2021/11/11 7:48:51 PM UTC+1,453704,10,7,2,7,2,1,10,6,4,8,10,2
2021/11/11 7:48:51 PM UTC+1,495563,6,6,2,10,2,6,7,3,8,10,4,7
2021/11/11 7:48:51 PM UTC+1,482793,9,4,4,8,6,3,2,6,2,3,5,6
2021/11/11 7:48:51 PM UTC+1,480204,7,9,7,1,9,2,9,2,4,6,5,4
2021/11/11 7:48:51 PM UTC+1,504479,9,8,7,6,9,4,1,6,6,4,8,2
2021/11/11 7:48:51 PM UTC+1,499424,2,2,10,9,9,8,5,7,10,2,8,2
2021/11/11 7:48:51 PM UTC+1,487464,1,8,3,10,1,9,1,10,6,10,10,6
2021/11/11 7:48:51 PM UTC+1,459101,5,8,3,1,8,3,5,8,5,6,4,7
2021/11/11 7:48:51 PM UTC+1,489850,3,3,1,1,10,9,6,7,1,3,9,5
2021/11/11 7:48:51 PM UTC+1,457278,2,7,1,4,2,10,10,10,6,1,6,7
2021/11/11 7:48:51 PM UTC+1,510401,7,7,5,4,9,4,4,7,9,5,9,1
2021/11/11 7:48:51 PM UTC+1,476774,7,7,2,8,5,4,2,7,4,10,4,4
2021/11/11 7:48:51 PM UTC+1,486601,5,2,1,8,4,8,5,2,4,6,3,5
2021/11/11 7:48:51 PM UTC+1,455349,10,9,4,10,2,4,3,5,9,2,8,1
2021/11/11 7:48:51 PM UTC+1,483847,4,7,7,4,10,8,5,6,2,6,3,3
2021/11/11 7:48:51 PM UTC+1,452199,10,5,7,7,9,1,5,10,5,4,9,1
2021/11/11 7:48:51 PM UTC+1,495717,6,1,8,1,3,7,2,2,7,3,1,2
2021/11/11 7:48:51 PM UTC+1,498442,2,5,10,4,2,2,1,1,2,3,4,7
2021/11/11 7:48:51 PM UTC+1,487826,7,10,10,9,7,8,3,2,4,2,1,4
2021/11/11 7:48:51 PM UTC+1,508993,8,9,5,4,8,10,9,7,5,3,8,2
2021/11/11 7:48:51 PM UTC+1,515183,5,3,5,9,1,8,7,8,10,8,8,7
2021/11/11 7:48:51 PM UTC+1,459877,4,5,1,2,3,6,9,6,4,8,3,7
2021/11/11 7:48:51 PM UTC+1,495412,7,1,10,7,6,7,3,10,8,7,3,3
2021/11/11 7:48:51 PM UTC+1,517840,10,8,5,5,8,8,1,8,9,9,7,9
2021/11/11 7:48:51 PM UTC+1,473793,7,8,9,2,10,4,9,1,7,8,6,3
2021/11/11 7:48:51 PM UTC+1,506344,6,5,10,1,4,5,7,4,4,4,7,4
2021/11/11 7:48:51 PM UTC+1,503075,8,10,1,1,9,1,7,3,6,9,6,10
2021/11/11 7:48:51 PM UTC+1,452753,2,4,2,4,4,4,6,8,8,1,8,2
2021/11/11 7:48:51 PM UTC+1,504905,9,7,2,2,5,3,1,9,9,4,10,3
